time_s,event_type,lane,detail,queue_after,signal_phase
0.0,phase_change,,phase=NS_GREEN;duration_s=26.80;queue_pressure=0;arrival_rate_per_min=30.00,,NS_GREEN
0.564,vehicle_arrival,west,vehicle joined queue,1,NS_GREEN
0.701,vehicle_arrival,south,vehicle joined queue,1,NS_GREEN
1.467,vehicle_arrival,north,vehicle joined queue,1,NS_GREEN
1.691,vehicle_arrival,north,vehicle joined queue,2,NS_GREEN
2.652,vehicle_arrival,south,vehicle joined queue,2,NS_GREEN
2.701,vehicle_departure,south,vehicle cleared intersection,1,NS_GREEN
2.816,vehicle_arrival,south,vehicle joined queue,2,NS_GREEN
3.467,vehicle_departure,north,vehicle cleared intersection,1,NS_GREEN
4.347,vehicle_arrival,north,vehicle joined queue,2,NS_GREEN
4.619,vehicle_arrival,north,vehicle joined queue,3,NS_GREEN
4.701,vehicle_departure,south,vehicle cleared intersection,1,NS_GREEN
4.975,vehicle_arrival,north,vehicle joined queue,4,NS_GREEN
5.252,vehicle_arrival,south,vehicle joined queue,2,NS_GREEN
5.467,vehicle_departure,north,vehicle cleared intersection,3,NS_GREEN
6.315,vehicle_arrival,east,vehicle joined queue,1,NS_GREEN
6.321,vehicle_arrival,west,vehicle joined queue,2,NS_GREEN
6.701,vehicle_departure,south,vehicle cleared intersection,1,NS_GREEN
7.047,vehicle_arrival,north,vehicle joined queue,4,NS_GREEN
7.108,vehicle_arrival,east,vehicle joined queue,2,NS_GREEN
7.467,vehicle_departure,north,vehicle cleared intersection,3,NS_GREEN
8.216,vehicle_arrival,west,vehicle joined queue,3,NS_GREEN
8.701,vehicle_departure,south,vehicle cleared intersection,0,NS_GREEN
9.467,vehicle_departure,north,vehicle cleared intersection,2,NS_GREEN
10.75,vehicle_arrival,north,vehicle joined queue,3,NS_GREEN
11.467,vehicle_departure,north,vehicle cleared intersection,2,NS_GREEN
12.645,vehicle_arrival,north,vehicle joined queue,3,NS_GREEN
12.768,vehicle_arrival,south,vehicle joined queue,1,NS_GREEN
12.972,vehicle_arrival,south,vehicle joined queue,2,NS_GREEN
13.467,vehicle_departure,north,vehicle cleared intersection,2,NS_GREEN
14.67,vehicle_arrival,west,vehicle joined queue,4,NS_GREEN
14.768,vehicle_departure,south,vehicle cleared intersection,1,NS_GREEN
15.467,vehicle_departure,north,vehicle cleared intersection,1,NS_GREEN
16.768,vehicle_departure,south,vehicle cleared intersection,0,NS_GREEN
17.235,vehicle_arrival,west,vehicle joined queue,5,NS_GREEN
17.467,vehicle_departure,north,vehicle cleared intersection,0,NS_GREEN
18.403,vehicle_arrival,west,vehicle joined queue,6,NS_GREEN
19.343,vehicle_arrival,west,vehicle joined queue,7,NS_GREEN
21.352,vehicle_arrival,south,vehicle joined queue,1,NS_GREEN
22.11,vehicle_arrival,west,vehicle joined queue,8,NS_GREEN
23.352,vehicle_departure,south,vehicle cleared intersection,0,NS_GREEN
23.605,vehicle_arrival,west,vehicle joined queue,9,NS_GREEN
24.814,vehicle_arrival,east,vehicle joined queue,3,NS_GREEN
26.671,vehicle_arrival,north,vehicle joined queue,1,NS_GREEN
26.8,phase_change,,phase=ALL_RED;duration_s=4.00,,ALL_RED
28.418,vehicle_arrival,north,vehicle joined queue,2,ALL_RED
28.609,vehicle_arrival,south,vehicle joined queue,1,ALL_RED
28.887,vehicle_arrival,south,vehicle joined queue,2,ALL_RED
29.151,vehicle_arrival,south,vehicle joined queue,3,ALL_RED
30.139,vehicle_arrival,south,vehicle joined queue,4,ALL_RED
30.14,vehicle_arrival,west,vehicle joined queue,10,ALL_RED
30.8,phase_change,,phase=EW_GREEN;duration_s=36.30;queue_pressure=13;arrival_rate_per_min=18.00,,EW_GREEN
30.925,vehicle_arrival,east,vehicle joined queue,4,EW_GREEN
31.394,vehicle_arrival,north,vehicle joined queue,3,EW_GREEN
32.8,vehicle_departure,east,vehicle cleared intersection,3,EW_GREEN
32.8,vehicle_departure,west,vehicle cleared intersection,9,EW_GREEN
33.188,vehicle_arrival,east,vehicle joined queue,4,EW_GREEN
34.324,vehicle_arrival,west,vehicle joined queue,10,EW_GREEN
34.697,vehicle_arrival,north,vehicle joined queue,4,EW_GREEN
34.8,vehicle_departure,east,vehicle cleared intersection,3,EW_GREEN
34.8,vehicle_departure,west,vehicle cleared intersection,9,EW_GREEN
35.028,vehicle_arrival,south,vehicle joined queue,5,EW_GREEN
36.8,vehicle_departure,east,vehicle cleared intersection,2,EW_GREEN
36.8,vehicle_departure,west,vehicle cleared intersection,8,EW_GREEN
36.81,vehicle_arrival,east,vehicle joined queue,3,EW_GREEN
36.997,vehicle_arrival,west,vehicle joined queue,9,EW_GREEN
38.489,vehicle_arrival,east,vehicle joined queue,4,EW_GREEN
38.8,vehicle_departure,east,vehicle cleared intersection,3,EW_GREEN
38.8,vehicle_departure,west,vehicle cleared intersection,8,EW_GREEN
40.173,vehicle_arrival,south,vehicle joined queue,6,EW_GREEN
40.628,vehicle_arrival,north,vehicle joined queue,5,EW_GREEN
40.8,vehicle_departure,east,vehicle cleared intersection,2,EW_GREEN
40.8,vehicle_departure,west,vehicle cleared intersection,7,EW_GREEN
42.8,vehicle_departure,east,vehicle cleared intersection,1,EW_GREEN
42.8,vehicle_departure,west,vehicle cleared intersection,6,EW_GREEN
42.958,vehicle_arrival,east,vehicle joined queue,2,EW_GREEN
43.404,vehicle_arrival,west,vehicle joined queue,7,EW_GREEN
44.8,vehicle_departure,east,vehicle cleared intersection,1,EW_GREEN
44.8,vehicle_departure,west,vehicle cleared intersection,6,EW_GREEN
44.995,vehicle_arrival,east,vehicle joined queue,2,EW_GREEN
45.531,vehicle_arrival,north,vehicle joined queue,6,EW_GREEN
45.749,vehicle_arrival,east,vehicle joined queue,3,EW_GREEN
46.8,vehicle_departure,east,vehicle cleared intersection,2,EW_GREEN
46.8,vehicle_departure,west,vehicle cleared intersection,5,EW_GREEN
47.561,vehicle_arrival,north,vehicle joined queue,7,EW_GREEN
48.179,vehicle_arrival,north,vehicle joined queue,8,EW_GREEN
48.8,vehicle_departure,east,vehicle cleared intersection,1,EW_GREEN
48.8,vehicle_departure,west,vehicle cleared intersection,4,EW_GREEN
49.09,vehicle_arrival,south,vehicle joined queue,7,EW_GREEN
49.261,vehicle_arrival,south,vehicle joined queue,8,EW_GREEN
50.697,vehicle_arrival,north,vehicle joined queue,9,EW_GREEN
50.8,vehicle_departure,east,vehicle cleared intersection,0,EW_GREEN
50.8,vehicle_departure,west,vehicle cleared intersection,3,EW_GREEN
52.8,vehicle_departure,west,vehicle cleared intersection,2,EW_GREEN
53.99,vehicle_arrival,south,vehicle joined queue,9,EW_GREEN
54.241,vehicle_arrival,east,vehicle joined queue,1,EW_GREEN
54.8,vehicle_departure,west,vehicle cleared intersection,1,EW_GREEN
56.121,vehicle_arrival,north,vehicle joined queue,10,EW_GREEN
56.241,vehicle_departure,east,vehicle cleared intersection,0,EW_GREEN
56.8,vehicle_departure,west,vehicle cleared intersection,0,EW_GREEN
57.533,vehicle_arrival,north,vehicle joined queue,11,EW_GREEN
57.637,vehicle_arrival,south,vehicle joined queue,10,EW_GREEN
61.504,vehicle_arrival,south,vehicle joined queue,11,EW_GREEN
